epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1519,0.87188,2.54018,1.24247,0.71918,0.53179,0.66695,0.49437,0.94123,2.17319,1.45851,0.000410354,0.000410354,0.000410354
2,42.3898,0.93682,1.43188,1.28693,0.69479,0.65961,0.72615,0.52083,1.02503,1.91021,1.4628,0.000799729,0.000799729,0.000799729
3,63.2557,0.96467,1.37877,1.29606,0.68244,0.69345,0.74297,0.49638,1.08579,1.72759,1.49777,0.0011616,0.0011616,0.0011616
4,81.3517,0.98549,1.35808,1.32721,0.60897,0.64503,0.63859,0.39824,1.19186,3.01606,1.58613,0.00112625,0.00112625,0.00112625
5,99.1277,0.96308,1.22041,1.28172,0.77163,0.62427,0.75678,0.54231,1.03439,1.56755,1.4781,0.001085,0.001085,0.001085
6,118.203,0.92484,1.14975,1.26649,0.79005,0.71703,0.79702,0.56888,0.91879,1.39425,1.34963,0.00104375,0.00104375,0.00104375
7,136.437,0.91514,1.09322,1.25141,0.86193,0.71551,0.81843,0.60126,0.95784,1.16966,1.39722,0.0010025,0.0010025,0.0010025
8,155.447,0.86641,0.98994,1.21532,0.73915,0.75041,0.78336,0.54809,1.08099,1.20204,1.46734,0.00096125,0.00096125,0.00096125
9,174.028,0.84596,0.95648,1.19646,0.87819,0.78075,0.86146,0.63729,0.92933,1.0724,1.30876,0.00092,0.00092,0.00092
10,192.116,0.84619,0.93404,1.21122,0.7986,0.76421,0.85395,0.63406,0.97713,1.16263,1.36797,0.00087875,0.00087875,0.00087875
11,210.631,0.81791,0.88819,1.19299,0.89062,0.83011,0.90033,0.69119,0.96386,1.07853,1.41733,0.0008375,0.0008375,0.0008375
12,228.951,0.80777,0.87659,1.1717,0.86691,0.83611,0.88284,0.66397,0.91387,0.86823,1.29213,0.00079625,0.00079625,0.00079625
13,246.341,0.78469,0.86714,1.16932,0.82804,0.81906,0.88869,0.67746,0.95822,0.92039,1.39238,0.000755,0.000755,0.000755
14,265.356,0.75967,0.8279,1.14427,0.86081,0.81847,0.89015,0.70443,0.7858,0.86429,1.1906,0.00071375,0.00071375,0.00071375
15,283.171,0.75202,0.80303,1.13577,0.87522,0.86346,0.91934,0.73061,0.86797,0.76311,1.30561,0.0006725,0.0006725,0.0006725
16,301.082,0.74615,0.77443,1.13217,0.92626,0.85905,0.92649,0.73597,0.82668,0.70015,1.25047,0.00063125,0.00063125,0.00063125
17,320.019,0.73344,0.73812,1.12482,0.93218,0.85394,0.93384,0.74791,0.79989,0.68259,1.24794,0.00059,0.00059,0.00059
18,338.322,0.72449,0.71965,1.11537,0.92502,0.83457,0.93354,0.74452,0.88245,0.72044,1.36406,0.00054875,0.00054875,0.00054875
19,356.896,0.70243,0.70635,1.10837,0.90169,0.88584,0.93857,0.75925,0.8418,0.64591,1.25396,0.0005075,0.0005075,0.0005075
20,377.221,0.66379,0.64614,1.07976,0.92053,0.8749,0.9426,0.76147,0.79522,0.59589,1.25631,0.00046625,0.00046625,0.00046625
21,396.229,0.62703,0.61545,1.0605,0.92624,0.88263,0.9506,0.76179,0.83352,0.67,1.27059,0.000425,0.000425,0.000425
22,413.913,0.60355,0.54299,1.03679,0.93777,0.86482,0.94734,0.75378,0.78815,0.64516,1.19552,0.00038375,0.00038375,0.00038375
23,430.79,0.57109,0.50532,1.01152,0.90562,0.89382,0.95028,0.7621,0.81827,0.73728,1.19938,0.0003425,0.0003425,0.0003425
24,447.34,0.55383,0.49644,1.00382,0.93834,0.86369,0.93091,0.74581,0.84296,0.65923,1.28642,0.00030125,0.00030125,0.00030125
25,463.714,0.55216,0.48482,1.00341,0.92791,0.89303,0.95115,0.77076,0.83196,0.57838,1.27591,0.00026,0.00026,0.00026
26,480.994,0.53826,0.45889,1.00149,0.90358,0.90236,0.94738,0.78051,0.78954,0.55228,1.22969,0.00021875,0.00021875,0.00021875
27,498.225,0.52344,0.44488,0.9791,0.94914,0.90789,0.96026,0.79838,0.7342,0.54831,1.16503,0.0001775,0.0001775,0.0001775
28,514.571,0.50102,0.4309,0.96957,0.93902,0.8887,0.95895,0.79626,0.74845,0.53988,1.17066,0.00013625,0.00013625,0.00013625
29,530.842,0.48578,0.40167,0.95801,0.93817,0.91478,0.95867,0.80084,0.77491,0.56717,1.25378,9.5e-05,9.5e-05,9.5e-05
30,547.15,0.48156,0.40131,0.95393,0.9631,0.8786,0.95848,0.79988,0.77785,0.55417,1.23772,5.375e-05,5.375e-05,5.375e-05
